Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Bc. Tomáš Andrle,Zákon Sarbanes - Oxley  implementace v korporátním prostředí  úloha IT,Aplikovaná informatika,Mgr.,2013,1,RNDr. Václav Vohánka,Ing. David Chudán
Bc. Miroslav Bartl,Neuronové sítě v systému automatizovaného obchodování na burzách,Aplikovaná informatika,Mgr.,2013,1,RNDr. Jan Lánský,prof. Ing. Petr Berka
Bc. Pavel Doucha,Návrh a implementace SW aplikace pro poskytování informací obchodníkům s el. energií,Aplikovaná informatika,Mgr.,2013,1,Ing. Petr Tyml,RNDr. Jan Lánský
Bc. Tomáš Maděra,Webové služby a jejich využití v praxi,Aplikovaná informatika,Mgr.,2013,1,Mgr. Jaromír Malenko,Mgr. Anna Nováková
Bc. Radek Mansfeld,Elektronický systém pro řízení správu a komunikaci domácnosti - klientská část,Aplikovaná informatika,Mgr.,2013,1,RNDr. Jan Lánský,Ing. Radko Hochman
Bc. Pavel Masař,Řešení podnikové elektronické komunikace,Aplikovaná informatika,Mgr.,2013,1,Ing. Filip Michálek,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Stanislav Petrák,Autentizace do VPN s využitím jednorázových hesel,Aplikovaná informatika,Mgr.,2013,1,Ing. Karel Hendrych,RNDr. Petr Tesař
Bc. Jan Románek,Elektronický systém pro řízení  správu a komunikaci domácnosti - serverová část,Aplikovaná informatika,Mgr.,2013,1,RNDr. Jan Lánský,Ing. Radko Hochman
Ing. Josef Suchý,Programové zpracování binomického delta hedgingu na bázi prodejní opce,Aplikovaná informatika,Mgr.,2013,1,doc. RNDr. Přemysl Záškodný,RNDr. Ivan Havlíček
Bc. Jan Špinka,Informační zabezpečení plánování dopravně bezpečnostních akcí,Aplikovaná informatika,Mgr.,2013,1,Mgr. Jaromír Malenko,RNDr. Martin Pergel
Bc. Michal Štolpa,Implementace knihoven ITIL do systému CRM,Aplikovaná informatika,Mgr.,2013,1,Ing. David Chudán,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Jan Turyna,Principy budování globální servisní organizace,Aplikovaná informatika,Mgr.,2013,1,Mgr. Jindřich Jašek,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Aleš Vasilčenko,Využití určitých komponent ERP  ECM  BI a CRM v obchodní společnosti,Aplikovaná informatika,Mgr.,2013,1,Ing. David Chudán,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Tereza Vašíčková,Kritická analýza a vícekriteriální hodnocení redakčních systémů,Aplikovaná informatika,Mgr.,2013,1,Ing. David Chudán,RNDr. Jan Lánský
Bc. Jan Vážanský,Projekt rozhraní HRIS ODYSEA vs. Peoplesoft,Aplikovaná informatika,Mgr.,2013,1,RNDr. Václav Vohánka,Mgr. Jaromír Malenko
Bc. Vladimír Zahajský,Mobilní aplikace pro monitoring a snížení nákladů na provoz vozidel,Aplikovaná informatika,Mgr.,2013,1,Mgr. Jaromír Malenko,RNDr. Václav Vohánka
