Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Ing. Vadim Beneš,Teoretické aspekty rizikově založené metodiky interního auditu,Finance,Ph.D.,2017,1,doc. Ing. Jaroslav Brada,Ing. Josef Budík
Mgr. Tomáš Kosička,Aplikace teorie her ve vybraných oblastech finančních vztahů,Finance,Ph.D.,2017,1,doc. Radim Valenčík,doc. RNDr. Petr Budinský
