Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Kateřina Abrahamová,Obecní samospráva ve Zdicích od poloviny 19. století do vzniku samostatné ČSR,Veřejná správa,Bc.,2012,1,doc. PhDr. Ludmila Sulitková,doc. JUDr. Marek Starý
Jan Almer,Psychologický význam obalu pro spotřebitele,Marketingová komunikace,Bc.,2012,1,PhDr. Miloslav Kafka,prof. Ing. František Zich
Elizaveta Alypova,Vzdělávání a rozvoj pracovníků s důrazem na práci s talenty,,Bc.,2012,1,Ing. Mgr. Jaromír Tichý,doc. Ing. Otakar Němec
Lukáš Anděl,Korejský a japonský film  jejich historie a popularita na základě dat o sledovanosti v České republice,Marketingová komunikace,Bc.,2012,1,PhDr. Marek Matějka,prof. MgA. Jiří Svoboda
Kristýna Anderlová,Společenská odpovědnost firem,Marketingová komunikace,Bc.,2012,1,Ing. Tereza Dvořáková,Ing. Pavel Klička
Tereza Attlová,Vývoj míry nezaměstnanosti v České republice po roce 2000,Veřejná správa,Bc.,2012,1,doc. Ing. Diana Bílková,prof. Ing. Lubomír Cyhelský
Magda Babson,Směnka jako zajišťovací instrument,Řízení podniku a podnikové finance,Bc.,2012,1,Ing. Iveta Horníčková,Ing. Václav Leinweber
Jiří Badura,Řízení podnikového nákupu,Řízení podniku a podnikové finance,Bc.,2012,1,Ing. Josef Šiman,Ing. Mgr. Jaromír Tichý
Markéta Bajtková,Finanční analýza jako nástroj řízení podniku,Řízení podniku a podnikové finance,Bc.,2012,1,Ing. Ivana Turková,Ing. Gabriela Dlasková
Adiya Bakhralinova,Faktory ovlivňující prosperitu malého a středního podnikání,Řízení podniku a podnikové finance,Bc.,2012,1,Ing. Pavel Babka,Ing. Miloš Krejčí
Eva Balšánová,Hypotéční úvěry z hlediska procesů v bance,Bankovnictví,Bc.,2012,1,doc. RNDr. Petr Budinský,Ing. Vadim Beneš
Zdenka Balzarová,Nemocenské pojištění osob samostatně výdělečně činných,Veřejná správa,Bc.,2012,1,Mgr. Ing. Jan Sviták,JUDr. Petr Čechák
Mgr. Ján Baran,Synchronizačná utilita pre OS Maemo,Aplikovaná informatika,Bc.,2012,1,RNDr. Jan Lánský,Mgr. Jaromír Malenko
Blanka Barášková,Controlling v malém a středním podniku,Řízení podniku a podnikové finance,Bc.,2012,1,Ing. Jan Cedl,Jaromír Stemberg
