Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Ing. Aliya Adambekova,Srovnání bankovního systému v Kazachstánu a České republice,Řízení podniku a podnikové finance,Ing.,2009,1,doc. Ing. Pavel Schránil,RSDr. Rudolf Baloušek
Ing. Robert Adámek,Vnitřní organizační normy - dynamický prvek řízení společnosti,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Otto Kechner,doc. Radim Valenčík
Ing. Lucie Adámková,Financování developerského projektu pomocí leasingu,Finance a finanční služby,Ing.,2009,1,Ing. Josef Budík,Ing. Vladimír Ezr
Bc. Petr Aksamit,Motivační systém v mezinárodní obchodní společnosti,Řízení podniku a podnikové finance,Ing.,2009,1,doc. Ing. Otakar Němec,Ing. Jiří Stýblo
Ing. Adina Alfery,Zavedení eura v ČR a jeho vliv na hospodaření základní školy,Veřejná správa,Ing.,2009,1,prof. Ing. Mojmír Helísek,Ing. Michal Mirvald
Ing. Miloš Altner,Vyhodnocení ekonomické efektivnosti variant podnikatelského plánu,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Petr Vaškovic,Ing. Alena Knappová
Ing. Hana Andresová,Kriminalistika - význam a metody při odhalování trestné činnosti a jejích pachatelů,Veřejná správa,Ing.,2009,1,Mgr. Eva Vetýšková,Mgr. Jana Brabencová
Ing. Petra Antkowiczová,Postavení podnikatelských subjektů v oblasti zdravotnické péče v Ústeckém kraji,,Ing.,2009,1,PaedDr. Václav Netolický,MUDr. Helena Nováková
Ing. Ondřej Antoš,Integrace systémů environmentálního managementu a managementu bezpečnosti práce do systému managementu kvality v orgánu státního dozoru,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Radim Flegl,Ing. Jan Havlíček
Ing. Petra Arnoštová  DiS.,Příprava na přechod k euru v regionální komerční bance,Finance a finanční služby,Ing.,2009,1,prof. Ing. Mojmír Helísek,Ing. Pavel Švec
Ing. Barbora Babáčková,Srovnání centrálního bankovnictví v České republice a v Polsku,Finance a finanční služby,Ing.,2009,1,doc. Ing. Vladislav Pavlát,Ing. Vladimír Ezr
Ing. Lucie Babincová,Konzulární pomoc a ochrana občanů České republiky v zahraničí,Řízení podniku a podnikové finance,Ing.,2009,1,JUDr. František Laštovka,JUDr. Vladimír Čermák
Ing. Pavlína Badziurová,Vzdělání a ekonomika,Řízení podniku a podnikové finance,Ing.,2009,1,doc. Radim Valenčík,PhDr. Rafik Bedretdinov
Ing. Jiří Bajer,Problematika nezaměstnanosti v regionu Kladno,Veřejná správa,Ing.,2009,1,doc. Ing. Jaroslava Durdisová,prof. Ing. Vojtěch Krebs
Ing. Martin Baker  DiS.,Historický vývoj státního občanství a národnostní otázky v českých zemích po roce 1918,Veřejná správa,Ing.,2009,1,PhDr. Ivan Antov,Ing. Tomáš Teplík
Ing. Ivana Balcarová,Analýza změn v rozpočtovém určení na hospodaření územní samosprávy na příkladu krajů v ČR,Veřejná správa,Ing.,2009,1,doc. Ing. Jaroslava Durdisová,Ing. Petr Ježek
Ing. Roman Balogh,Metodika měření a vyhodnocování FM procesů ve firmě,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Radim Flegl,Ing. Otakar Král
Ing. Jan Baroch,Kosovská krize,Veřejná správa,Ing.,2009,1,prof. PhDr. Eduard Gombár,Ing. Tomáš Teplík
Ing. Silvie Barochová,Platební a kreditní karty nabízené bankami v České republice,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Otto Kechner,Mgr. Ing. Petr Wawrosz
Ing. Václav Bartoš,Fenomén privátní značky a nástroje jeho marketingové podpory,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Jaroslav Šulc,doc. Ing. Milan Kašík
Ing. Dagmar Bartošová  DiS.,Analýza rozvoje incomingového cestovního ruchu České republiky v letech 2008 - 2009,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Naděžda Petrů,JUDr. Josef Novák
Ing. Dita Bártová,Strategický management - kritické faktory úspěchu implementace změny,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Jiří Stýblo,Ing. Miroslav Brábník
Ing. Zuzana Baťková,IS jako prostředek dosažení finanční a procesní standardizace v oblasti dlouhodobého majetku,Řízení podniku a podnikové finance,Ing.,2009,1,Ing. Petr Adam,Ing. Dana Kubíčková
Ing. Petr Baťulka,Správní delikty na finančních trzích,Finance a finanční služby,Ing.,2009,1,doc. JUDr. Jarmila Pavlátová,Ing. Josef Budík
Ing. Miroslava Bečičková,Zadávání veřejných zakázek v nové právní úpravě,Veřejná správa,Ing.,2009,1,Mgr. Ing. Petr Wawrosz,PhDr. Marie Hamplová
Ing. Jan Bednář,Postup správního orgánu při řízení o přestupcích proti bezpečnosti a plynulosti provozu na pozemních komunikací a řízení související,Veřejná správa,Ing.,2009,1,JUDr. Stanislav Sviták,Ing. Milena Šikýřová Mestlová
Ing. Gabriela Benedová,Proces získávání a výběr pracovníků ve vybraných nadnárodních společnostech,Řízení podniku a podnikové finance,Ing.,2009,1,doc. Ing. Otakar Němec,Ing. Lucie Pletichová
