Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Bc. Radek Bárta,Business Intelligence - Ziskovost zákazníka,Aplikovaná informatika,Mgr.,2014,1,prof. Ing. Petr Berka,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Jiří Sládek,Optimalizace bezdrátové sítě v prostorách VŠFS,Aplikovaná informatika,Mgr.,2014,1,Mgr. Jaromír Malenko,Ing. Vladimír Nulíček
Bc. Zdeněk Cecava,SEPA Credit Transfer v České republice a XML konvertor SEPA Credit Transferu,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jan Lánský,doc. JUDr. Ing. Otakar Schlossberger
Bc. Jiří Černý  DiS.,Tvorba webové aplikace pro srovnání Blackova-Scholesova modelu a binomického modelu ve vazbě na finanční trhy,Aplikovaná informatika,Mgr.,2014,1,doc. RNDr. Přemysl Záškodný,RNDr. Ivan Havlíček
Bc. Roman Dohnal,Použití nástrojů Six Sigma k optimalizaci procesu vývoje software,Aplikovaná informatika,Mgr.,2014,1,Ing. Martin Hlaváček,RNDr. Jan Lánský
Bc. Zdeněk Freund,Výzkum autentizace osob ve webových aplikacích,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jan Lánský,RNDr. Petr Tesař
Bc. Jiří Hron,Rozšířené uživatelské rozhraní pro interaktivní modulární manuál,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jan Lánský,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Tomáš Hudec,Výhody Adobe Flex technologie: Flexi-Form  dynamické front-end formuláře,Aplikovaná informatika,Mgr.,2014,1,Ing. Karel Šrédl,doc. RNDr. Pavel Töpfer
Bc. Ondřej Kučera,Projekt elektronické evidence a řízení skladu,Aplikovaná informatika,Mgr.,2014,1,RNDr. Peter Freimann,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Zbyněk Lakomý,Optimalizace nákupních procesů ve firmách pomocí systému reverzních aukcí,Aplikovaná informatika,Mgr.,2014,1,Mgr. Jaromír Malenko,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Václav Melichar,Programová použitelnost trinomického modelu pro vybranou derivátovou burzu,Aplikovaná informatika,Mgr.,2014,1,doc. RNDr. Přemysl Záškodný,RNDr. Ivan Havlíček
Bc. Jan Mičan,Řízení vývoje v rámci ISO 9001,Aplikovaná informatika,Mgr.,2014,1,Ing. David Chudán,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Marek Pavelek,Windows Presentation Foundation a jeho využití při tvorbě moderních aplikací,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jan Lánský,doc. RNDr. Pavel Töpfer
Bc. Tomáš Rudolecký,Vývoj aplikací pro mobilní platformy,Aplikovaná informatika,Mgr.,2014,1,Mgr. Jaromír Malenko,prof. Ing. Petr Berka
Bc. Evgeniy Rybak,Cloudová datová uložiště pro podnikatele a malé firmy,Aplikovaná informatika,Mgr.,2014,1,prof. Ing. Petr Berka,RNDr. Jakub Lokoč
Bc. Lucie Tvrdíková,Vývoj aplikace na platformě Windows Phone,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jakub Lokoč,prof. Ing. Petr Berka
Tatyana Tyrnova,Aplikace data miningu pro podporu rozhodování v bankovnictví,Aplikovaná informatika,Mgr.,2014,1,prof. Ing. Petr Berka,RNDr. Jan Lánský
Bc. Tomáš Valoušek,SW pro vyhodnocení nasazení lidských zdrojů,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jan Lánský,doc. Ing. Karel Havlíček
Bc. Martin Vilím,MSSQL jako nástroj pro reportování z informačního systému SAP,Aplikovaná informatika,Mgr.,2014,1,Mgr. Petr Pecka,RNDr. Jakub Lokoč
Bc. Petr Zaoral,Jízdní řády pro mobilní telefony,Aplikovaná informatika,Mgr.,2014,0,RNDr. Václav Vohánka,RNDr. Jan Lánský
Bc. Peter Zošiak,Principy a postupy vytváření automatizovaných testů v MS Visual Studio 2012,Aplikovaná informatika,Mgr.,2014,1,RNDr. Jan Lánský,RNDr. Jakub Lokoč
Bc. Jakub Žižka,Využití report miningu při zavádění nových klientů do mzdových účetních systémů dle německé legislativy,Aplikovaná informatika,Mgr.,2014,1,Ing. Michal Kára,prof. Ing. Petr Berka
