Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Ing. Yvona Legierská,Vybrané problémy teorie a praxe daně z přidané hodnoty,Finance,Ph.D.,2016,1,prof. Ing. Jaroslav Vostatek,Ing. Jan Mertl
Ing. Jaroslav Tichý,Procyklické chování bank a úvěrové riziko hypotečních úvěrů v České republice,Finance,Ph.D.,2016,1,prof. Dr. Ing. Jan Frait,doc. Ing. Vladislav Pavlát
