Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Bc. Petra Adámková,Hodnocení finanční situace územně samosprávného celku,Veřejná správa,Ing.,2011,1,Ing. Dana Kubíčková,doc. Ing. Pavel Schránil
Bc. Jana Almerová,Analýza PR metod a technik v prostředí státní organizace,Marketingová komunikace,Ing.,2011,1,Mgr. Miloslava Kykalová,Ing. Vilém Kunz
Bc. Eva Andrejcová,Podnikatelský plán jako součást žádosti o úvěr,Řízení podniku a podnikové finance,Ing.,2011,1,Ing. Jarmila Ircingová,Ing. Jiří Hanzlík
Mgr. Gabriela Antićová,Komparace interního auditu v orgánech veřejné správy,Veřejná správa,Ing.,2011,1,Ing. Pavel Kajml,PaedDr. Václav Netolický
Milan Antoš,Úloha komunitního plánování v oblasti sociálních služeb ve vybraném regionu,Veřejná správa,Ing.,2011,1,Ing. Pavla Varvažovská,PhDr. Jaroslava Kadeřábková
Bc. David Babický,Marketingová komunikační kampaň na vybraný projekt,Marketingová komunikace,Ing.,2011,1,Ing. Kateřina Tomšíková,Ing. Pavel Fuchs
Bc. Tereza Báčová,Marketingová komunikace středních škol,Marketingová komunikace,Ing.,2011,1,prof. PhDr. Dušan Pavlů,PhDr. Marek Matějka
Bc. Daniel Badinka,Finanční plán podniku Dřevotvar s.r.o.,Řízení podniku a podnikové finance,Ing.,2011,1,Ing. Josef Šiman,Ing. Petr Petera
Bc. Erika Bachová  MBA,Veletrhy a výstavy ve Škoda auto  a.s.,Marketingová komunikace,Ing.,2011,1,PhDr. Iva Petrová,prof. PhDr. Dušan Pavlů
Bc. Klára Baláková,Marketing neziskových organizací,Marketingová komunikace,Ing.,2011,1,Mgr. Markéta Jansová,Ing. Miloslav Vaňák
Bc. Kristýna Balatková,Možnosti marketingové komunikace při řešení sociálních problémů - poruchy příjmu potravy,Marketingová komunikace,Ing.,2011,1,prof. Ing. František Zich,PhDr. Jiří Němec
Bc. Martin Barabáš,Ekonomické a personální aspekty speciálního výcviku ozbrojených složek ČR,Řízení podniku a podnikové finance,Ing.,2011,1,Mgr. Pavel Černý,doc. Ing. Jaroslav Blaha
Bc. Michal Barabáš,Podnikatelský plán - Jackin Entertainment  s.r.o.,Řízení podniku a podnikové finance,Ing.,2011,1,Ing. Pavla Břečková,Ing. Naděžda Petrů
Bc. Lukáš Bárta,Koncepce mezinárodního marketingu  příklady uplatnění v podniku,Marketingová komunikace,Ing.,2011,1,doc. Ing. Anna Klosová,Ing. Vilém Kunz
Bc. Sandra Bartáková,Vývoj a budoucnost politiky soudržnosti Evropské unie,Veřejná správa,Ing.,2011,1,Ing. Michal Částek,prof. PhDr. Karel Lacina
Bc. Hana Bartková,Porušování autorských práv k dílu Alfonse Muchy,Marketingová komunikace,Ing.,2011,1,Mgr. Bc. Radek Soběslavský,JUDr. Eva Kadlecová
Bc. Veronika Bartoňová,Penzijní reforma v ČR,Řízení podniku a podnikové finance,Ing.,2011,1,Dr. Milan Hradec,Ing. Jaroslav Šulc
Jaroslav Bartoš,Využití technologie AMM pro efektivní řízení procesů prodeje dodávek v energetickém podniku,Řízení podniku a podnikové finance,Ing.,2011,1,Ing. Petr Karkoška,doc. Ing. Endre Tóth
Bc. Nela Bartošová,Podpora prodeje a analýza věrnostního programu na čerpací stanici Fill in station,Marketingová komunikace,Ing.,2011,1,PhDr. Adolf Vodrážka,Ing. Miloslav Vaňák
Bc. Barbora Basíková,Moderní poskytovatel logistických služeb – firma Geodis Calberson s.r.o.,Řízení podniku a podnikové finance,Ing.,2011,1,JUDr. Josef Novák,Ing. Mgr. Jaromír Tichý
Bc. Pavla Baťhová,Integrovaná marketingová komunikace jako nová forma efektivity komunikačního působení,Marketingová komunikace,Ing.,2011,1,prof. PhDr. Dušan Pavlů,Ing. Vilém Kunz
Bc. Jekatěrina Bavinova,Teorie her v marketingu,Řízení podniku a podnikové finance,Ing.,2011,1,Ing. Mgr. Jaromír Tichý,doc. Ing. Karel Havlíček
Bc. Tereza Bažantová,Metody leasingového financování,Řízení podniku a podnikové finance,Ing.,2011,1,Mgr. Jiří Horký,Dr. Stanislav Mareš
Bc. Daniela Bednárová  DiS.,Dokumentární akreditiv a dokumentární inkaso v zahraničním obchodě,Finance a finanční služby,Ing.,2011,1,Ing. Pavel Babka,Ing. Josef Budík
Bc. Jiří Bednář,Postavení České pojišťovny a.s. na pojistném trhu,Pojišťovnictví,Ing.,2011,1,Dr. Milan Hradec,JUDr. Bohumil Jeníček
Bc. Petra Bedrnová,Event marketing ve společnosti HELEN BE s.r.o.,Marketingová komunikace,Ing.,2011,1,Ing. Ondřej Pešek,PhDr. Petr Váňa
Bc. Stanislav Belko,Ocenění podniku Škoda Auto a.s.,,Ing.,2011,1,Ing. Jana Kotěšovcová,Ing. Josef Budík
Bc. Natálie Bendlová,Sociální reklama a její vývoj do současnosti,Marketingová komunikace,Ing.,2011,1,prof. Ing. František Zich,doc. Mgr. Ondřej Roubal
Bc. Jitka Benešová,Analýza vybrané TV reklamy vysílané v rámci sportovního pořadu,Marketingová komunikace,Ing.,2011,1,Mgr. Zdenka Chocholoušová,Ing. Lenka Sedláčková
Bc. Kristýna Bernatová,Udržitelný rozvoj a CSR ve společnosti Henkel,Marketingová komunikace,Ing.,2011,1,prof. PhDr. Dušan Pavlů,Ing. Vilém Kunz
Bc. Bohuslava Bérová,Pojištění odpovědnosti za škodu způsobenou provozem vozidla - komparace a statistická analýza,Pojišťovnictví,Ing.,2011,1,doc. Ing. Diana Bílková,Dr. Milan Hradec
