Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
PhDr. Soňa Benecká,Optimal amount and structure of the foreign exchange reserves,Finance,Ph.D.,2013,1,prof. Ing. Luboš Komárek,doc. Ing. Jaroslav Brada
Ing. Jiří Horecký,Efektivní financování sociálních služeb v České republice,Finance,Ph.D.,2013,1,prof. Ing. Vojtěch Krebs,doc. Ing. Ladislav Průša
